id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_country,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
402882,https://www.airbnb.com/rooms/402882,20230612205741,2023-06-13,city scrape,Townhouse in Sintra · ★4.64 · 3 bedrooms · 4 beds · 3 baths,"Ideally located in small village Praia das Macas (Colares, Sintra), a 2 minutes walk from the beach, typical restaurants and all you may need on vacations. <br /><br />Fully functional house, very well equipped with easy decoration. Ideal for vacations with children.<br /><br /><b>The space</b><br />Very practical house for vacations.","To start there are restaurants, surfing schools. With the Sintra hills 5 minutes away, ideal for long walks in the morning and afternoon down to the beach.",https://a0.muscache.com/pictures/4802512/0a12c03e_original.jpg,1188660,https://www.airbnb.com/users/show/1188660,Pedro,2011-09-21,Madrid, Spain,"Working as a business consultant, what I really love is the ocean!",within an hour,100%,100%,f,https://a0.muscache.com/im/users/1188660/profile_pic/1333450826/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1188660/profile_pic/1333450826/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Sintra,Colares,Sintra,38.82694,-9.46977,Entire townhouse,Entire home/apt,8,,3 baths,3,4,"[""Dining table"", ""Beach view"", ""Iron"", ""Dedicated workspace"", ""First aid kit"", ""Wifi"", ""Body soap"", ""Washer"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Waterfront"", ""Refrigerator"", ""Oven"", ""Hot water"", ""Cleaning products"", ""Cooking basics"", ""Wine glasses"", ""Microwave"", ""Shampoo"", ""Heating"", ""Extra pillows and blankets"", ""Bathtub"", ""Laundromat nearby"", ""Stove"", ""Freezer"", ""Free parking on premises"", ""Shower gel"", ""Bidet"", ""Free street parking"", ""Toaster"", ""Pets allowed"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dryer"", ""Bed linens"", ""Room-darkening shades"", ""Safe"", ""Hot water kettle"", ""Outdoor furniture"", ""Indoor fireplace"", ""Bluetooth sound system"", ""Coffee maker: Nespresso"", ""Private entrance"", ""Long term stays allowed"", ""TV with standard cable"", ""Private patio or balcony"", ""Beach essentials"", ""Public or shared beach access \u2013 Beachfront"", ""Dishes and silverware"", ""Dishwasher"", ""Hangers"", ""Ocean view""]",$218.00,5,90,5,5,90,90,5.0,90.0,,t,18,21,30,305,2023-06-13,14,4,0,2015-08-17,2022-09-04,4.64,4.86,4.14,4.79,4.57,4.64,4.64,t,1,1,0,0,0.15,
29915,https://www.airbnb.com/rooms/29915,20230612205741,2023-06-13,city scrape,Rental unit in Lisboa · ★4.58 · 1 bedroom · 2 beds · 1 bath,"Non-smoking modern and equipped apartment. Quiet and peaceful, with view to a pateo, Wi-Fi (500 mbps)  and A/C. Ideal for conference guests/ doctoral students or for people who enjoy traveling and discovering new places, but who care about comfort and quietness.<br /><br /><b>The space</b><br />Large 1 bedroom apartment, in a just built modern condo located in the centre of Lisbon, close to the  Campus of University  of Lisbon. (right in front of ISCTE and Hospital Santa Maria)<br /><br />Ideal for conference guests or for people who enjoy traveling and discovering new places, but who care about some comfort  and quietness. <br /><br />10 min drive from the airport,  near Campo Pequeno, Gulbenkian Foundation,  Cidade Universitária, this  apartment is located in a modern part of Lisbon, very easily accesible by public transportation (subway, bus, train to Sintra). <br /><br /><br />Size:<br />Spacious Bedroom with Queen size bed, huge Living Room with comfortable couch bed, Kitchen and ","Location:<br />Entrecampos, Avenida das Forças Armadas<br /> <br />-10 minutes walk  to  University Campus of Universidade de Lisboa, Universidade Nova  Campus, ISCTE, Estádio Universitário, Hospital de Santa Maria, Biblioteca Nacional.<br />-  10 minutes away by subway from the old center of Lisboa, like Marquês de Pombal, Rossio.<br /><br />-15 minutes walk to Foundation Calouste Gulbenkian (amazing gardens and museum), Saldanha, Monumental and Residence Cinema Theaters, Campo Pequeno<br /><br />The neighborhood:<br />Very urban neighborhood. Supermarket is in a walking distance. Very central to many important locations of the city. Very close to many University Campus and Hospital.<br />The condo has grocery stores, laundromat, cafes and restaurants. There is a bigger supermarket, Modelo, on Praça de Entrecampos. Campo Grande, one of the largest parks in Lisboa, begins in Entrecampos and it's 10 minutes walking distance.",https://a0.muscache.com/pictures/1225149/8b3e920e_original.jpg,128890,https://www.airbnb.com/users/show/128890,Sara,2010-05-20,New York, NY,I'm a jazz musician and live in between NY and Lisbon. My apartment in Lisbon is available most part of the year.,within a few hours,100%,82%,f,https://a0.muscache.com/im/users/128890/profile_pic/1294521376/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/128890/profile_pic/1294521376/original.jpg?aki_policy=profile_x_medium,Harlem,2,2,"['email', 'phone']",t,t,Lisboa,Avenidas Novas,Lisboa,38.74571,-9.15264,Entire rental unit,Entire home/apt,3,,1 bath,1,2,"[""Dining table"", ""HDTV with standard cable"", ""Iron"", ""Wifi"", ""Kitchen"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Fire extinguisher"", ""Backyard"", ""Refrigerator"", ""Oven"", ""Hot water"", ""Elevator"", ""Cleaning products"", ""Cooking basics"", ""Microwave"", ""Coffee maker"", ""Heating"", ""Bathtub"", ""Laundromat nearby"", ""Stove"", ""Freezer"", ""Bidet"", ""Books and reading material"", ""Toaster"", ""Bed linens"", ""Safe"", ""Hot water kettle"", ""Patio or balcony"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Air conditioning"", ""Dishes and silverware"", ""Hangers""]",$70.00,7,365,7,7,365,365,7.0,365.0,,t,2,5,9,271,2023-06-13,53,6,2,2010-07-24,2023-06-02,4.58,4.78,4.81,4.76,4.65,4.65,4.59,f,1,1,0,0,0.34,
33348,https://www.airbnb.com/rooms/33348,20230612205741,2023-06-13,city scrape,Rental unit in Lisbon · 1 bedroom · 3 beds · 2 baths,"<b>The space</b><br />Five minutes by foot to subway Campo Grande, yellow and green line, taxi square and buses, included nigth bus. 11 minutes to nigthlife and Bairro Alto.<br /><br />Good location, very safe, comfort. The single rooms, with about 12 m2 of use area, are equipped with a bed, a closet,lineup for the king size bed, a desk with chair and a table lamp, a bookcase.<br /> <br />The apartment is very good, have 4 rooms. Use of water, TV cable, internet wireless, gas and electricity are included in the price.<br /><br />There is sunny ligth on the house, confort, nice decoration and very friendly people. <br /><br />There are 1 bathroom and one guest toilet on the apart.<br /><br />You can use the kitcken (totally equiped) and living room.<br /><br />1 minute by foot to the supermarket and restaurants.<br /><br />2 minutes by foot to the pharmacy, court tennis and gym, theres a jogging park near too.",,https://a0.muscache.com/pictures/188498/9c7c7e0b_original.jpg,144484,https://www.airbnb.com/users/show/144484,Bruno,2010-06-14,Prague, Czechia,.,within a few hours,100%,0%,,https://a0.muscache.com/im/users/144484/profile_pic/1414262380/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/144484/profile_pic/1414262380/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Lumiar,Lisboa,38.76427,-9.15301,Private room in rental unit,Private room,6,,2 baths,,3,"[""Dryer"", ""Free parking on premises"", ""TV with standard cable"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Washer"", ""Heating""]",$40.00,1,730,1,1,730,730,1.0,730.0,,t,0,0,0,0,2023-06-13,2,0,0,2011-06-29,2011-07-22,5.0,5.0,4.5,4.5,4.5,4.5,4.5,f,1,0,1,0,0.01,
42519,https://www.airbnb.com/rooms/42519,20230612205741,2023-06-13,city scrape,Rental unit in Lisbon · ★4.48 · 1 bedroom · 1 bed · 1 bath,"This apartment is the best choice for those who want to live Lisbon in one of its most typical and old neighborhoods, Bairro Alto.<br />A bohemian, vibrant and picturesque neighborhood, our apartment is located in one of its quietest areas, close to the Santa Catarina viewpoint where you can enjoy one of the most beautiful views of Lisbon.<br /><br /><b>The space</b><br />This apartment offers you a living room to rest and socialize, an equipped kitchen, a double bedroom and a bathroom with shower. Here you can relax, with all the comfort after your days discovering Lisbon.<br /><br /><b>Guest access</b><br />Guests will have access to the entire apartment, enjoy all the space and relax whenever they need.<br /><br /><b>License number</b><br />81551/AL","This apartment is the ideal choice for those who want to live Lisbon in one of its most typical and old neighborhoods, Bairro Alto. <br />A bohemian, vibrant and picturesque neighborhood, our apartment is located in one of its quiet areas, close to the Santa Catarina viewpoint where you can enjoy one of the most beautiful views of the city of Lisbon.<br />When you discover the neighborhood you discover Portuguese culture, in this neighborhood you can find the best Fado houses in Lisbon, contemporary urban art and delight yourself with Portuguese cuisine.<br />Bairro Alto is located in the center of Lisbon and you can quickly discover other places of interest, such as shopping in Chiado and Baixa Lisboeta, walk along the riverside, visiting various museums or the Castle of São Jorge.<br />The location is perfect for to know the most interesting places in Lisbon.",https://a0.muscache.com/pictures/fbe0c64b-ea1a-4096-a8b1-cb896dff995e.jpg,136230,https://www.airbnb.com/users/show/136230,David,2010-06-01,Lisbon, Portugal,"Hi, my name is David and I'm renting out several apartments in Lisbon. I'm a nice person and I'm happy to help you out so please feel free to get in touch with me with any questions you may have. I speak Portuguese, Spanish and English.",within an hour,94%,100%,f,https://a0.muscache.com/im/users/136230/profile_pic/1399636121/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/136230/profile_pic/1399636121/original.jpg?aki_policy=profile_x_medium,Santa Catarina,7,11,"['email', 'phone']",t,t,Lisbon,Misericordia,Lisboa,38.71062,-9149,Entire rental unit,Entire home/apt,2,,1 bath,1,1,"[""Iron"", ""High chair"", ""First aid kit"", ""Wifi"", ""Kitchen"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Fire extinguisher"", ""Self check-in"", ""Refrigerator"", ""Oven"", ""Hot water"", ""Cooking basics"", ""Microwave"", ""Shampoo"", ""Coffee maker"", ""Building staff"", ""Stove"", ""Luggage dropoff allowed"", ""Cleaning available during stay"", ""Pack \u2019n play/Travel crib"", ""Patio or balcony"", ""Long term stays allowed"", ""TV with standard cable"", ""Paid parking on premises"", ""Dishes and silverware"", ""Dishwasher"", ""Paid parking off premises"", ""Hangers""]",$100.00,1,1125,1,3,1125,1125,1.0,1125.0,,t,10,20,45,320,2023-06-13,170,50,3,2011-10-12,2023-06-06,4.48,4.54,4.65,4.67,4.52,4.77,4.51,f,7,7,0,0,1.20,
214729,https://www.airbnb.com/rooms/214729,20230612205741,2023-06-13,city scrape,Rental unit in Lisbon · ★4.89 · 1 bedroom · 1 bed · 1 bath,"Para conhecer Lisboa, perto de tudo.<br /><br /><b>The space</b><br />It is centrally located with just a short walk to the Campus of the University of Lisbon.<br />Subway, bus,  airport (4Km).<br />The room: complete privacy, FREE WIFI high speed internet access.<br />There is many more local shops and restaurants in the neighbourhood. <br /><br />The apartment has a good sized reception room with leather sofas, flat screen TV and dining table with 4 chairs. The kitchen is fully equipped with a fridge freezer, dishwasher and washing machine, microwave.<br /><br /><b>Other things to note</b><br />Due to the pandemic situation COVID19,  we follow the security protocols recommended by WHO. Guests have cleaning products to keep common areas clean after each use. It is possible to maintain the social distance in the common areas - living room, kitchen, WC.","Perto do jardim do Campo Grande, zona tranquila.",https://a0.muscache.com/pictures/1921350/43d8b5a2_original.jpg,1108485,https://www.airbnb.com/users/show/1108485,Maria,2011-09-04,,,,within a day,100%,91%,,https://a0.muscache.com/im/pictures/user/ba6f386e-9ccd-4e26-95ca-bb82bb300b95.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ba6f386e-9ccd-4e26-95ca-bb82bb300b95.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,Lisbon,Alvalade,Lisboa,38.74825,-9.1459,Private room in rental unit,Private room,1,,1 bath,,1,"[""Refrigerator"", ""Stove"", ""Oven"", ""TV with standard cable"", ""Microwave"", ""Smoking allowed"", ""Cooking basics"", ""Paid parking on premises"", ""Kitchen"", ""Wifi"", ""Washer"", ""Dishes and silverware"", ""Coffee maker""]",$30.00,15,365,15,15,365,365,15.0,365.0,,t,0,0,3,182,2023-06-13,36,4,1,2015-04-09,2023-06-04,4.89,4.81,4.92,4.94,5.0,4.86,4.86,f,2,0,2,0,0.36,
48025,https://www.airbnb.com/rooms/48025,20230612205741,2023-06-13,city scrape,Rental unit in Lisbon · ★4.31 · 1 bedroom · 1 bed · 1.5 baths,"<b>The space</b><br />Located in the heart of old Lisbon (Bairro Alto). Rua da Atalaia. Typical restaurants, Fado, handycraft , fashion stores. <br />Furnished. Fully equipped kitchen. One bedroom. Living room with double bed sofa. Internet. Suitable for two people. Price per month: 700 euros.<br /><br /><b>License number</b><br />66950/AL",,https://a0.muscache.com/pictures/552c71a6-d008-45aa-9f50-acc6f86c80c0.jpg,218778,https://www.airbnb.com/users/show/218778,José,2010-08-31,,,Portugal,within a few hours,96%,71%,f,https://a0.muscache.com/im/pictures/user/e37bbd0f-78ad-4c8e-a4ad-e9db0cd49b97.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e37bbd0f-78ad-4c8e-a4ad-e9db0cd49b97.jpg?aki_policy=profile_x_medium,Encarnação,7,9,"['email', 'phone']",t,t,,Misericordia,Lisboa,38.71195,-9.14463,Entire rental unit,Entire home/apt,2,,1.5 baths,1,1,"[""Refrigerator"", ""Iron"", ""TV"", ""Dedicated workspace"", ""Cooking basics"", ""Wifi"", ""Kitchen"", ""Washer"", ""Dishes and silverware"", ""Heating""]",$80.00,5,365,5,5,365,365,5.0,365.0,,t,0,0,0,205,2023-06-13,33,9,1,2011-07-18,2023-05-22,4.31,4.66,4.38,4.81,4.75,4.63,4.25,f,7,7,0,0,0.23,
217187,https://www.airbnb.com/rooms/217187,20230612205741,2023-06-13,city scrape,Rental unit in Lisbon · ★4.73 · 1 bedroom · 1 bed · 1 bath,"<b>The space</b><br />Flat to rent in Lisbon.  <br /> <br />The flat is situated in the historical part of Alfama, where you will be able to experience the traditional fado houses, trams, and historical places like the castle and cathedral! Alfama is also situated within walking distance of the trendy Bairro Alto, with its bars and restaurants. <br /> <br />The flat sleeps 3 people at maximum, and it's available for weekend breaks, week rentals or longer periods. <br />My apartment its also available from the 15 setenber till the end of Aprill to rent for long periods(max 6 months) for students,or people that pretend to live in Lisbon for a short time!<br /><br /><b>License number</b><br />84722/AL",,https://a0.muscache.com/pictures/2986834/9b92150c_original.jpg,1121762,https://www.airbnb.com/users/show/1121762,Silvia,2011-09-07,Lisbon, Portugal,"Hi, my name is Silvia and I'm renting out a flat in the historical heart of Lisbon: Alfama and chiado.Please feel free to get in touch with me with any questions you may have. Apart from Portuguese, I also speak English, French and Italian so feel free to contact me in any of those languages!",a few days or more,0%,51%,f,https://a0.muscache.com/im/pictures/user/f6b5b52d-ad29-478b-ad80-5706ad9dbcc4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f6b5b52d-ad29-478b-ad80-5706ad9dbcc4.jpg?aki_policy=profile_x_medium,Alfama,2,3,"['email', 'phone']",t,t,,Santa Maria Maior,Lisboa,38.71225,-9.12777,Entire rental unit,Entire home/apt,2,,1 bath,1,1,"[""Essentials"", ""Dedicated workspace"", ""Smoking allowed"", ""Wifi"", ""Kitchen"", ""Washer"", ""Pets allowed"", ""Hair dryer""]",$70.00,2,150,2,2,150,150,2.0,150.0,,t,0,1,1,75,2023-06-13,204,20,0,2011-09-27,2022-10-01,4.73,4.83,4.76,4.84,4.84,4.86,4.69,f,2,2,0,0,1.43,
48058,https://www.airbnb.com/rooms/48058,20230612205741,2023-06-13,previous scrape,Home in Cascais · ★4.94 · 1 bedroom · 2 beds · 1 bath,"Nice and comfortable one bedroom house, two minutes walking distance from the centre of Cascais Village, Marina and Beach.<br /><br /><b>The space</b><br />Contemporary Small House in the stunning fishing village of Cascais. Walking distance from town centre, Marina and beaches. The perfect place for a relaxing cultural beach holiday!<br />It is ideal for one or two couples or a small family.<br /><br />Fly to Lisbon with TAP Air Portugal, Easy Jet, BA, BMI, KLM, Lufthansa, Air France, Swiss and many others.<br /><br />If you're driving from the airport then you'll get great deals for car hire with your airline.<br /><br />It's a straightforward 32km/25min journey on A5 motorway to Junction 12 and then another 5min to the house.<br />Public transport is also an easy option. From the Airport there is an airport shuttle to Cais do Sodre Train Station and from there you can catch a direct train to Cascais. It’s a really nice train journey up the coast and takes about 35mins. For train tim","Nice quiet neighborhood, 200 meters from the museum Casa das Histórias Paula Rego and 5 minutes to the beach and Marina",https://a0.muscache.com/pictures/d01607ce-124b-4f79-b0ec-f82e31e6ffd1.jpg,218990,https://www.airbnb.com/users/show/218990,Pim,2010-08-31,Cascais, Portugal,,N/A,N/A,100%,t,https://a0.muscache.com/im/pictures/user/b23a660c-8165-49de-bea9-025b8dba7928.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b23a660c-8165-49de-bea9-025b8dba7928.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Cascais,Cascais e Estoril,Cascais,38.6965,-9.42571,Entire home,Entire home/apt,4,,1 bath,1,2,"[""Iron"", ""Wifi"", ""Kitchen"", ""Washer"", ""Lockbox"", ""Private backyard \u2013 Fully fenced"", ""Hair dryer"", ""BBQ grill"", ""Essentials"", ""Self check-in"", ""Refrigerator"", ""Oven"", ""Hot water"", ""Cooking basics"", ""Microwave"", ""Coffee maker"", ""Extra pillows and blankets"", ""Bathtub"", ""Stove"", ""Beach access \u2013 Beachfront"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Indoor fireplace"", ""Long term stays allowed"", ""TV with standard cable"", ""Private patio or balcony"", ""Beach essentials"", ""Dishes and silverware"", ""Hangers""]",$89.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,0,0,3,3,2023-06-13,51,13,2,2015-04-05,2023-06-10,4.94,4.88,4.66,4.94,4.94,4.98,4.88,t,1,1,0,0,0.51,
48854,https://www.airbnb.com/rooms/48854,20230612205741,2023-06-13,city scrape,Rental unit in Sintra · ★5.0 · 4 bedrooms · 6 beds · 3 baths,"Spacious, comfortable and bright 4 bedroom maisonette apartment in historical villa. Local market around the corner. Fully equipped kitchen, large living areas, terrace and patio.  Ideal location to explore Sintra, the region and Lisbon. Train/bus in 450m  - no car needed. But if you travel by car, there is a small garage.<br /><br /><b>The space</b><br />Guests have private access to the entire two floors of the apartment. Comfortable self-catering holiday apartment in historical chalet. Located around the corner from the local market where you can stock up on local fruit, veggie, fish, meat. Supermarkets for all the rest conveniently located (2 min or  8 min on foot).  Four spacious bedrooms - three have double beds/twins and the fourth has a single plus a bunkbed. Accommodates 7 adults and 1 youth (bunkbed).  Baby bed and high chair available. Around the corner from the house you find small typical restaurants which offer traditional Portuguese fish and meat dishes, as well as veget","Sintra is an area of outstanding beauty and cultural interest, and UNESCO World Heritage site with beautiful castles, palaces, parks and gardens to visit. The quiet location of the house allows you to have a peaceful time, while the market and restaurants are very close.<br />The region offers many options for active holidays: beach, hiking, walking, horse riding, canopy-slide, surfing, bodyboard, paddel; boat trips from Cascais or Lisbon; dolphin watching in Setubal.",https://a0.muscache.com/pictures/76713228/e444fe85_original.jpg,222551,https://www.airbnb.com/users/show/222551,Dagmar,2010-09-03,Lisbon, Portugal,I am originally from Germany but have lived in Portugal since 1997 with my family. I absolutely love Sintra and its surroundings. I try to make sure the house has all the comfort needed so you can feel 'at home' and relax and enjoy your holiday from the first minute. Portugal is a great country to discover and Sintra is a special place with many hidden treasures.,N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/5c288aef-adef-4cae-aa33-b81c40146348.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5c288aef-adef-4cae-aa33-b81c40146348.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone', 'work_email']",t,t,Sintra,Santa Maria,Sintra,38.8038,-9.3797,Entire rental unit,Entire home/apt,7,,3 baths,4,6,"[""Smoke alarm"", ""Dining table"", ""Iron"", ""Dedicated workspace"", ""High chair"", ""First aid kit"", ""Free washer \u2013 In unit"", ""Body soap"", ""Kitchen"", ""Barbecue utensils"", ""Hair dryer"", ""BBQ grill"", ""Crib"", ""Essentials"", ""Fire extinguisher"", ""Self check-in"", ""Refrigerator"", ""Conditioner"", ""Portable fans"", ""Coffee"", ""Children\u2019s books and toys"", ""Hot water"", ""Sun loungers"", ""Cleaning products"", ""Cooking basics"", ""Wine glasses"", ""Microwave"", ""Free parking garage on premises \u2013 1 space"", ""Shampoo"", ""Coffee maker"", ""Fast wifi \u2013 254 Mbps"", ""Extra pillows and blankets"", ""Bathtub"", ""Laundromat nearby"", ""Paid dryer \u2013 In building"", ""Stove"", ""Luggage dropoff allowed"", ""Freezer"", ""Shower gel"", ""Siemens stainless steel oven"", ""Cleaning available during stay"", ""Bidet"", ""Books and reading material"", ""Blender"", ""Free street parking"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Keypad"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Bed linens"", ""Room-darkening shades"", ""Hot water kettle"", ""Outdoor furniture"", ""Baby safety gates"", ""Paid street parking off premises"", ""Backyard - Fully fenced"", ""Long term stays allowed"", ""Board games"", ""Central heating"", ""Private patio or balcony"", ""Beach essentials"", ""Baking sheet"", ""Dishes and silverware"", ""Dishwasher"", ""28\"" HDTV with Apple TV, standard cable, Netflix"", ""Hangers""]",$250.00,5,90,5,5,90,90,5.0,90.0,,t,0,0,0,164,2023-06-13,46,0,0,2015-08-18,2022-05-31,5.0,4.98,4.93,4.96,5.0,4.71,4.78,f,1,1,0,0,0.48,
49673,https://www.airbnb.com/rooms/49673,20230612205741,2023-06-13,city scrape,Cottage in Alenquer · ★5.0 · 4 bedrooms · 7 beds · 5 baths,"Countryside, Great sun exposure<br /> 20.000 m2, land / vineyards.<br />Peaceful, tastefully English decorated,  35 km from Lisbon .<br />Country house - 350 m2 ,Porch .<br />2nd house , swimming pool with an annexe of 30m2 - kitchen bathroom plus 50m2 of lounge.<br /><br /><b>The space</b><br />Real countryside, Great sun exposure<br />Total Area - 20.000 Square Meters, land with vineyards.<br />Very peaceful, Tastefully English decorated, only at 35 km from Lisbon .<br />Country house built in 1996  with 350 m2 , with large living room with a fire place, with porch, also a dining room with a fire place<br />Grounding floor with large living room with a fire place, porch, a dining room with a fire place, also one bedroom suite and two bedrooms ( 4 beds – total ) and a bathroom.<br />Big kitchen and guest room.<br />Upper floor with the main suite bedroom with a view over the vineyards…<br />Also the second house with swimming pool with an annexe of 30m2 consisting of kitchen, also a  ","Alenquer is a Portuguese villa belonging to the district of Lisbon, Centre region and sub-region of the West, with about 10 800 inhabitants.<br />history",https://a0.muscache.com/pictures/40ac67c7-b2e7-4121-a90a-1a0596eae432.jpg,225364,https://www.airbnb.com/users/show/225364,Mercês,2010-09-06,Lisbon, Portugal,"Optimista , Bem disposta, Organizada",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/e2108820-e6f1-4b71-9fe3-cf6bdb404469.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e2108820-e6f1-4b71-9fe3-cf6bdb404469.jpg?aki_policy=profile_x_medium,,1,6,"['email', 'phone']",t,t,Alenquer,Alenquer ,Alenquer,39.05965,-9.04733,Entire cottage,Entire home/apt,8,,5 baths,4,7,"[""Free parking on premises"", ""Iron"", ""Indoor fireplace"", ""Hot water"", ""Pool"", ""Host greets you"", ""TV with standard cable"", ""Smoking allowed"", ""Wifi"", ""Kitchen"", ""Washer"", ""Pets allowed"", ""Hangers"", ""Heating""]",$350.00,7,30,7,7,30,30,7.0,30.0,,t,23,46,76,342,2023-06-13,7,1,0,2016-08-16,2022-08-25,5.0,5.0,4.14,5.0,5.0,4.57,4.86,f,1,1,0,0,0.08,
